"Source:","C:\Users\BodeRu\WorkspaceKiCAD\cbEval.Stripboard\cbEval.Stripboard.kicad_sch"
"Date:","11.04.2021 17:25:13"
"Tool:","Eeschema (5.99.0-10141-g7d9ee76f64)"
"Generator:","C:\Users\BodeRu\Documents\KiCad\5.99\plugins\plugins/bom_csv_grouped_by_value_with_ID.py"
"Component Count:","30"
"Ref","Qnty","ID","Value","Cmp name","Footprint","Description"
"C1, ","1","C0805C104K5RAC7025","100n","100n","Capacitor_SMD:C_0805_2012Metric","Surface Mount Multilayer Ceramic Chip Capacitors (SMD MLCCs)"
"C5, ","1","C0805C472K5RACTU","4n7","4n7","Capacitor_SMD:C_0805_2012Metric","Surface Mount Multilayer Ceramic Chip Capacitors (SMD MLCCs)"
"H1, ","1","CIME/E/BE3500S","CIME.E.BE3500S.1x","CIME.E.BE3500S.1x","BTech.Housing:Camdenboss.CIME.E.BE3500S.1x","Euro Series 107mm Empty Modular Interface Support"
"H2, H3, H4, H5, H6, H7, H8, H9, ","8","","Stripfield-4x4","Stripfield-4x4","BTech.PCB:Stripfield-4x4",""
"J1, J5, J11, J12, ","4","68000-103HLF","Bergstik-II_3","Bergstik-II_3","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","Jumper, 3-pole, open"
"J2, J13, J15, ","3","68000-106HLF","Bergstik-II_6","Bergstik-II_6","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","Jumper, 6-pole, open"
"J3, J16, ","2","9-103326-0-08","Header.Hor.2x8.9-103326-0-08","Header.Hor.2x8.9-103326-0-08","Connector_PinHeader_2.54mm:PinHeader_2x08_P2.54mm_Horizontal","CONN HEADER R/A 16POS 2.54MM "
"J4, J17, ","2","1-5535512-8","Socket.Hor.2x8.1-5535512-8","Socket.Hor.2x8.1-5535512-8","BTech.Connector.AMPMODU-ModII:Socket.Hor.2x5.6-5535512-4","CONN RCPT 16POS 0.1 GOLD PCB R/A"
"J14, ","1","68000-108HLF","Bergstik-II_8","Bergstik-II_8","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","Jumper, 8-pole, open"
"MP1, ","1","","KiCAD-Logo2.5mm.SilkScreen","KiCAD-Logo2.5mm.SilkScreen","Symbol:KiCad-Logo_5mm_SilkScreen",""
"R3, R4, ","2","RC0805FR-0760R4L","60R4","60R4","Resistor_SMD:R_0805_2012Metric","SMD-Metallglasurschicht-Chipwiderstand, Dickschicht, nicht gewendelt"
"S1, ","1","JS202011CQN","C&K-JS202011","C&K-JS202011","Button_Switch_THT:SW_CuK_JS202011CQN_DPDT_Straight","Sub-Miniature Slide Switches"
"TP1, TP5, ","2","1287","TAB1287","TAB1287","TestPoint:TestPoint_Bridge_Pitch5.08mm_Drill1.3mm","Test Point - Faston"
"U1, ","1","SN74AHC138D","SN74AHC138D","SN74AHC138D","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","3-LINE TO 8-LINE DECODERS/DEMULTIPLEXERS"
